Station, StationB, Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Christchurch, Kyle St Ews,20200501:0000,10.3,1,8.3,1,-,-,9.1,55,1,H
Christchurch, Kyle St Ews,20200501:0100,8.4,1,7.0,1,-,-,7.6,62,1,H
Christchurch, Kyle St Ews,20200501:0200,7.2,1,5.9,1,-,-,6.5,69,1,H
Christchurch, Kyle St Ews,20200501:0300,6.1,1,5.2,1,-,-,5.6,76,1,H
Christchurch, Kyle St Ews,20200501:0400,5.6,1,5.0,1,-,-,5.2,80,1,H
Christchurch, Kyle St Ews,20200501:0500,5.3,1,4.9,1,-,-,5.1,77,1,H
Christchurch, Kyle St Ews,20200501:0600,5.4,1,4.9,1,-,-,5.1,75,1,H
Christchurch, Kyle St Ews,20200501:0700,5.4,1,4.5,1,-,-,5.1,74,1,H
Christchurch, Kyle St Ews,20200501:0800,5.0,1,4.2,1,-,-,4.6,78,1,H
Christchurch, Kyle St Ews,20200501:0900,7.4,1,4.9,1,-,-,5.9,78,1,H
Christchurch, Kyle St Ews,20200501:1000,10.7,1,7.3,1,-,-,9.1,66,1,H
Christchurch, Kyle St Ews,20200501:1100,13.9,1,10.6,1,-,-,12.4,57,1,H
Christchurch, Kyle St Ews,20200501:1200,18.2,1,13.9,1,-,-,15.5,52,1,H
Christchurch, Kyle St Ews,20200501:1300,21.1,1,18.1,1,-,-,19.7,37,1,H
Christchurch, Kyle St Ews,20200501:1400,21.7,1,20.9,1,-,-,21.2,28,1,H
Christchurch, Kyle St Ews,20200501:1500,21.0,1,18.1,1,-,-,19.4,36,1,H
Christchurch, Kyle St Ews,20200501:1600,18.3,1,16.7,1,-,-,17.5,44,1,H
Christchurch, Kyle St Ews,20200501:1700,16.7,1,14.7,1,-,-,15.8,54,1,H
Christchurch, Kyle St Ews,20200501:1800,14.8,1,14.1,1,-,-,14.4,56,1,H
Christchurch, Kyle St Ews,20200501:1900,14.4,1,14.1,1,-,-,14.2,52,1,H
Christchurch, Kyle St Ews,20200501:2000,14.6,1,14.2,1,-,-,14.4,46,1,H
Christchurch, Kyle St Ews,20200501:2100,14.6,1,13.3,1,-,-,14.0,46,1,H
Christchurch, Kyle St Ews,20200501:2200,13.8,1,13.2,1,-,-,13.6,52,1,H
Christchurch, Kyle St Ews,20200501:2300,13.3,1,12.0,1,-,-,12.6,56,1,H
Christchurch, Kyle St Ews,20200502:0000,13.4,1,12.3,1,-,-,13.0,54,1,H
Christchurch, Kyle St Ews,20200502:0100,12.3,1,11.4,1,-,-,11.8,56,1,H
Christchurch, Kyle St Ews,20200502:0200,11.8,1,9.0,1,-,-,10.5,61,1,H
Christchurch, Kyle St Ews,20200502:0300,9.8,1,7.9,1,-,-,9.0,65,1,H
Christchurch, Kyle St Ews,20200502:0400,8.0,1,5.8,1,-,-,6.7,72,1,H
Christchurch, Kyle St Ews,20200502:0500,6.0,1,4.8,1,-,-,5.3,80,1,H
Christchurch, Kyle St Ews,20200502:0600,5.1,1,3.9,1,-,-,4.5,84,1,H
Christchurch, Kyle St Ews,20200502:0700,4.6,1,3.8,1,-,-,4.2,86,1,H
Christchurch, Kyle St Ews,20200502:0800,4.7,1,3.8,1,-,-,4.2,85,1,H
Christchurch, Kyle St Ews,20200502:0900,12.3,1,4.7,1,-,-,8.4,75,1,H
Christchurch, Kyle St Ews,20200502:1000,18.0,1,12.3,1,-,-,16.1,45,1,H
Christchurch, Kyle St Ews,20200502:1100,18.4,1,17.3,1,-,-,17.9,40,1,H
Christchurch, Kyle St Ews,20200502:1200,18.4,1,18.0,1,-,-,18.1,42,1,H
Christchurch, Kyle St Ews,20200502:1300,18.9,1,18.1,1,-,-,18.7,46,1,H
Christchurch, Kyle St Ews,20200502:1400,20.3,1,18.8,1,-,-,19.8,43,1,H
Christchurch, Kyle St Ews,20200502:1500,20.2,1,19.8,1,-,-,20.0,42,1,H
Christchurch, Kyle St Ews,20200502:1600,20.6,1,19.9,1,-,-,20.2,40,1,H
Christchurch, Kyle St Ews,20200502:1700,20.4,1,19.6,1,-,-,20.2,42,1,H
Christchurch, Kyle St Ews,20200502:1800,21.2,1,19.3,1,-,-,20.4,42,1,H
Christchurch, Kyle St Ews,20200502:1900,21.1,1,18.9,1,-,-,20.4,42,1,H
Christchurch, Kyle St Ews,20200502:2000,19.0,1,18.5,1,-,-,18.9,46,1,H
Christchurch, Kyle St Ews,20200502:2100,19.3,1,17.6,1,-,-,18.2,52,1,H
Christchurch, Kyle St Ews,20200502:2200,20.8,1,16.6,1,-,-,19.5,49,1,H
Christchurch, Kyle St Ews,20200502:2300,20.0,1,16.5,1,-,-,17.3,62,1,H
Christchurch, Kyle St Ews,20200503:0000,20.8,1,19.6,1,-,-,20.3,51,1,H
Christchurch, Kyle St Ews,20200503:0100,20.5,1,18.5,1,-,-,19.8,55,1,H
Christchurch, Kyle St Ews,20200503:0200,18.6,1,16.5,1,-,-,17.2,60,1,H
Christchurch, Kyle St Ews,20200503:0300,17.2,1,14.6,1,-,-,16.0,64,1,H
Christchurch, Kyle St Ews,20200503:0400,15.4,1,14.4,1,-,-,14.8,74,1,H
Christchurch, Kyle St Ews,20200503:0500,15.8,1,14.9,1,-,-,15.3,70,1,H
Christchurch, Kyle St Ews,20200503:0600,17.0,1,15.7,1,-,-,16.2,63,1,H
Christchurch, Kyle St Ews,20200503:0700,16.6,1,15.8,1,-,-,16.3,67,1,H
Christchurch, Kyle St Ews,20200503:0800,15.9,1,15.4,1,-,-,15.6,70,1,H
Christchurch, Kyle St Ews,20200503:0900,16.0,1,14.8,1,-,-,15.1,74,1,H
Christchurch, Kyle St Ews,20200503:1000,18.5,1,15.9,1,-,-,17.6,63,1,H
Christchurch, Kyle St Ews,20200503:1100,19.4,1,18.0,1,-,-,18.8,58,1,H
Christchurch, Kyle St Ews,20200503:1200,23.7,1,19.3,1,-,-,20.8,51,1,H
Christchurch, Kyle St Ews,20200503:1300,24.3,1,21.6,1,-,-,22.5,45,1,H
Christchurch, Kyle St Ews,20200503:1400,25.9,1,22.7,1,-,-,25.1,32,1,H
Christchurch, Kyle St Ews,20200503:1500,25.6,1,24.2,1,-,-,24.9,28,1,H
Christchurch, Kyle St Ews,20200503:1600,25.0,1,21.5,1,-,-,22.9,34,1,H
Christchurch, Kyle St Ews,20200503:1700,22.6,1,21.0,1,-,-,22.0,36,1,H
Christchurch, Kyle St Ews,20200503:1800,21.1,1,19.1,1,-,-,20.0,39,1,H
Christchurch, Kyle St Ews,20200503:1900,19.2,1,16.1,1,-,-,18.1,44,1,H
Christchurch, Kyle St Ews,20200503:2000,16.5,1,14.6,1,-,-,15.4,56,1,H
Christchurch, Kyle St Ews,20200503:2100,18.4,1,15.8,1,-,-,17.7,45,1,H
Christchurch, Kyle St Ews,20200503:2200,17.4,1,16.0,1,-,-,16.8,46,1,H
Christchurch, Kyle St Ews,20200503:2300,16.5,1,14.9,1,-,-,15.7,50,1,H
Christchurch, Kyle St Ews,20200504:0000,17.1,1,15.8,1,-,-,16.5,47,1,H
Christchurch, Kyle St Ews,20200504:0100,17.0,1,16.4,1,-,-,16.8,44,1,H
Christchurch, Kyle St Ews,20200504:0200,16.5,1,15.6,1,-,-,16.2,45,1,H
Christchurch, Kyle St Ews,20200504:0300,15.6,1,13.4,1,-,-,14.4,55,1,H
Christchurch, Kyle St Ews,20200504:0400,13.5,1,12.4,1,-,-,13.0,62,1,H
Christchurch, Kyle St Ews,20200504:0500,12.9,1,11.7,1,-,-,12.2,66,1,H
Christchurch, Kyle St Ews,20200504:0600,12.7,1,11.4,1,-,-,12.1,66,1,H
Christchurch, Kyle St Ews,20200504:0700,11.8,1,10.5,1,-,-,11.3,69,1,H
Christchurch, Kyle St Ews,20200504:0800,11.7,1,10.3,1,-,-,11.1,69,1,H
Christchurch, Kyle St Ews,20200504:0900,15.9,1,11.7,1,-,-,13.7,58,1,H
Christchurch, Kyle St Ews,20200504:1000,18.2,1,15.8,1,-,-,17.3,45,1,H
Christchurch, Kyle St Ews,20200504:1100,17.4,1,17.0,1,-,-,17.2,48,1,H
Christchurch, Kyle St Ews,20200504:1200,17.6,1,17.1,1,-,-,17.3,50,1,H
Christchurch, Kyle St Ews,20200504:1300,17.8,1,17.1,1,-,-,17.5,49,1,H
Christchurch, Kyle St Ews,20200504:1400,17.2,1,15.6,1,-,-,16.5,56,1,H
Christchurch, Kyle St Ews,20200504:1500,15.6,1,15.0,1,-,-,15.3,71,1,H
Christchurch, Kyle St Ews,20200504:1600,15.5,1,14.3,1,-,-,15.1,70,1,H
Christchurch, Kyle St Ews,20200504:1700,14.3,1,13.3,1,-,-,13.8,80,1,H
Christchurch, Kyle St Ews,20200504:1800,13.4,1,12.5,1,-,-,12.9,86,1,H
Christchurch, Kyle St Ews,20200504:1900,12.7,1,12.4,1,-,-,12.6,90,1,H
Christchurch, Kyle St Ews,20200504:2000,12.5,1,11.8,1,-,-,12.1,91,1,H
